epoch,train_loss,train_iou,val_loss,val_iou
1,0.76497909228007,0.26867712338765465,0.7572149634361267,0.3668009440104167
2,0.7406110525131225,0.3176134099562963,0.7494491537412008,0.36709853013356525
3,0.7226519783337911,0.3615232825279236,0.7309853831926981,0.3787669936815898
4,0.706361718972524,0.405134924252828,0.7191585103670756,0.421200563510259
5,0.6884910066922506,0.43935987750689187,0.7543471256891886,0.42459585269292194
6,0.6709595918655396,0.4839390973250071,0.7669658263524374,0.41203882296880084
7,0.6570941726366679,0.5052030026912689,0.7738616267840067,0.43254317839940387
8,0.6444256424903869,0.5222180505593618,0.7341776291529337,0.4432772099971771
9,0.6307234326998393,0.5448854088783264,0.7007306019465128,0.4372978210449219
10,0.6171728610992432,0.5653661012649536,0.6685154438018799,0.42135019103686017
11,0.6035719354947408,0.5802091161410013,0.6528533498446146,0.41993244489034015
12,0.5906925797462463,0.5933299541473389,0.6419995228449503,0.32403414448102313
13,0.5761909047762553,0.6076684673627217,0.6463068922360738,0.27764325092236203
14,0.5647987167040507,0.6184110085169474,0.6682987411816915,0.28538934389750165
15,0.5523648619651794,0.6280311862627665,0.6948208610216776,0.32270147154728573
16,0.5426133354504903,0.6334919214248658,0.7388898730278015,0.3511433998743693
17,0.5321605364481609,0.6428390065828959,0.7150912086168925,0.3558098028103511
18,0.5244121511777242,0.6427041927973429,0.7399450143178304,0.33953799804051715
19,0.5183026731014252,0.6476170221964518,0.7315241098403931,0.3579857647418976
20,0.505677209297816,0.6562873641649882,0.8161423802375793,0.3945555090904236
21,0.49798903465270994,0.6638739347457886,0.6385809977849325,0.42875322699546814
22,0.4923240880171458,0.66417316198349,0.8136671781539917,0.37825431923071545
23,0.4775094886620839,0.6820055643717448,0.7588769694169363,0.40848010778427124
24,0.4753718972206116,0.6731026331583659,0.763466070095698,0.4189460674921672
25,0.4648157775402069,0.6892544110616048,0.797016441822052,0.4303466280301412
26,0.4570139785607656,0.6952181776364644,0.8699746330579122,0.3999798099199931
27,0.45137206514676415,0.6984062393506368,0.7893753747145335,0.44706181685129803
28,0.4450262645880381,0.7000228921572368,0.8888146181901296,0.41999953985214233
29,0.44265904823939006,0.698937698205312,0.901769200960795,0.40182994802792865
30,0.4340975006421407,0.7077434579531352,0.800982783238093,0.3991505453983943
31,0.4296301563580831,0.7039860407511394,0.7243437667687734,0.4067186365524928
32,0.4251850684483846,0.7044331908226014,0.8874843617280325,0.38372769455115
33,0.42070045272509254,0.7115153670310974,0.8027543822924296,0.4096470574537913
34,0.41534116864204407,0.7131267388661703,0.6849784652392069,0.41261428594589233
35,0.4074151337146759,0.7270300428072611,0.6058870951334635,0.450156033039093
36,0.4087076226870219,0.7113195975621541,0.7516825099786123,0.39563435812791187
37,0.4013235072294871,0.7266377091407776,0.7167212863763174,0.4179437458515167
38,0.3973487734794617,0.7267558296521505,0.7643487950166067,0.3935612340768178
39,0.3900403618812561,0.7337847073872884,0.665246864159902,0.40604254603385925
40,0.3902777055899302,0.722182587782542,0.6574996411800385,0.39834149678548175
41,0.3808355450630188,0.7373081843058268,0.6875978211561838,0.37729201714197796
42,0.37960283557573954,0.735129976272583,0.5454737941424052,0.49166513482729596
43,0.3764950096607208,0.7357091108957926,0.5884600579738617,0.46236445506413776
44,0.37148671348889667,0.7383595625559489,0.6343027452627817,0.44894595940907794
45,0.36872541705767314,0.7393763343493144,0.6595318714777628,0.4545437494913737
46,0.3646344045797984,0.7414951125780741,0.5608744422594706,0.4866441587607066
47,0.35860640605290733,0.7483988602956136,0.6799146930376688,0.4094516535600026
48,0.35888673265775045,0.7419765909512838,0.5296564300855001,0.49745020270347595
49,0.3524170458316803,0.7519231994946798,0.5128784676392873,0.5049530963102976
50,0.351827875773112,0.7464035590489705,0.5793726841608683,0.44530577460924786
