Epoch,Train_Loss,Train_IoU,Val_Loss,Val_IoU
1,1.7491650581359863,0.29858268424868584,1.7089189291000366,0.30717378854751587
2,1.6302935749292373,0.3970031652599573,1.485771616299947,0.5624759395917257
3,1.54359327852726,0.48356092274188994,1.4014174540837605,0.623372475306193
4,1.4700484246015548,0.5357017509639264,1.340380350748698,0.6669476628303528
5,1.414846768975258,0.5656761132180691,1.307392954826355,0.6207255919774374
6,1.3642959892749786,0.5980538986623287,1.2619117895762126,0.6850026448567709
7,1.322914958000183,0.6087196417152881,1.2392691373825073,0.641307552655538
8,1.2916850298643112,0.621304739266634,1.1921497186024983,0.6941123803456625
9,1.2522196084260941,0.6395807228982449,1.184164563814799,0.6602913737297058
10,1.2313245743513108,0.6406331293284893,1.1464344660441081,0.6760631402333578
11,1.191080927848816,0.6578549645841122,1.1121689875920613,0.6925850510597229
12,1.1642008543014526,0.6640809446573257,1.081453800201416,0.7021216551462809
13,1.1429594680666924,0.6644593313336372,1.0583213965098064,0.7063916722933451
14,1.1075187087059022,0.6772235482931137,1.051989237467448,0.6860782702763876
15,1.0832576423883438,0.6815107576549053,1.026171088218689,0.6889363527297974
16,1.0678548097610474,0.6785592496395111,1.033825397491455,0.6599143942197164
17,1.0346874311566352,0.6979861035943031,0.9641413887341818,0.7359894315401713
18,1.0093161821365357,0.7091563522815705,0.9576972524325053,0.7153045336405436
19,0.9986738979816436,0.7072697803378105,0.9776456356048584,0.6836058696111044
20,0.9663010865449906,0.7262194886803627,0.9370412230491638,0.7191883524258932
21,0.9448251828551293,0.7342734038829803,0.8997301459312439,0.7439217766125997
22,0.9258174896240234,0.7419809535145759,0.8816935817400614,0.744942307472229
23,0.9051925212144851,0.7505797863006591,0.8944023251533508,0.715338667233785
24,0.8851529195904732,0.761352090537548,0.8573007980982462,0.7544252673784891
25,0.866417470574379,0.7662996858358383,0.8540393511454264,0.7417908906936646
26,0.8525602459907532,0.7730906903743744,0.8025433421134949,0.7881117264429728
27,0.8249911114573478,0.7880918711423874,0.8006481528282166,0.7905876040458679
28,0.8154895260930062,0.7889805644750595,0.8092180291811625,0.7599679430325826
29,0.8079158022999764,0.791329450905323,0.7557241121927897,0.7921539545059204
30,0.7813965111970902,0.8006054118275643,0.7606011430422465,0.7946481903394064
31,0.7604950845241547,0.8128410473465919,0.7335573037465414,0.8100335200627645
32,0.7528668865561485,0.8066925391554832,0.6968625783920288,0.8380776643753052
33,0.7346676781773567,0.8191955432295799,0.6952473918596903,0.826021413008372
34,0.7192854881286621,0.8221795916557312,0.6855916579564413,0.8296603957811991
35,0.7152882799506187,0.8289635345339775,0.6600422660509745,0.8627265890439352
36,0.6963579639792442,0.8275111764669418,0.6821269591649374,0.8249665896097819
37,0.6830491438508034,0.8315792918205261,0.651069184144338,0.8362103501955668
38,0.6653454095125199,0.8451134979724884,0.641731838385264,0.8424794872601827
39,0.6554947748780251,0.8426557332277298,0.6392549872398376,0.8348741928736368
40,0.6511262610554696,0.8456510782241822,0.6069038510322571,0.8659556110699972
41,0.6366232961416245,0.8469285205006599,0.5978475213050842,0.860260526339213
42,0.6164354369044304,0.855611665546894,0.5940014918645223,0.8695081075032552
43,0.607345674932003,0.8591098934412003,0.5934226512908936,0.8640448451042175
44,0.6022025428712368,0.853798134624958,0.5723303556442261,0.868324855963389
45,0.5916779071092606,0.863671438395977,0.5448615451653799,0.876079261302948
46,0.5841051340103149,0.8628284960985184,0.5442316730817159,0.878433883190155
47,0.5747495159506798,0.8627153247594833,0.5762171546618143,0.8499223788579305
48,0.5708634674549102,0.8648990422487259,0.5548374255498251,0.8673938314119974
49,0.5507993772625923,0.8715082541108131,0.5471474329630533,0.8640817801157633
50,0.5472070053219795,0.8703962340950966,0.5283628106117249,0.8784453074137369
